"id_tarif_inacbg","kd_inacbg","uraian","kelas","tipe_rs","tarif"
"1342","G-4-24-II ","TRAUMA KEPALA SEDANG","II","B","4469300"
"1337","G-4-24-I  ","TRAUMA KEPALA RINGAN","I","B","4173500"
"1343","G-4-24-II ","TRAUMA KEPALA SEDANG","I","B","5214200"
"1340","G-4-24-II ","TRAUMA KEPALA SEDANG","III","B","3724400"
"1350","G-4-25-I  ","GEGAR OTAK RINGAN","III","C","1889900"
"1348","G-4-24-III","TRAUMA KEPALA BERAT","II","B","7445800"
"1347","G-4-24-III","TRAUMA KEPALA BERAT","I","C","6444800"
"1353","G-4-25-I  ","GEGAR OTAK RINGAN","I","C","2645800"
"1354","G-4-25-I  ","GEGAR OTAK RINGAN","II","B","2965000"
"1351","G-4-25-I  ","GEGAR OTAK RINGAN","III","B","2470900"
"1356","G-4-25-II ","GEGAR OTAK SEDANG","III","C","2389900"
"1189","G-4-16-I  ","ISKEMIK TRANSIENT RINGAN","II","C","3036100"
"1357","G-4-25-II ","GEGAR OTAK SEDANG","II","C","2867900"
"1190","G-4-16-I  ","ISKEMIK TRANSIENT RINGAN","III","B","3307900"
"1366","G-4-25-III","GEGAR OTAK BERAT","II","B","4969000"
"1388","H-1-20-I  ","PROSEDUR EKTRAOKULER DAN MATA RINGAN","I","C","5972200"
"1371","G-4-26-I  ","GANGUAN-PENYAKIT SISTEM PERSARAFAN LAIN-LAIN (RINGAN)","II","B","4217000"
"1376","G-4-26-II ","GANGUAN-PENYAKIT SISTEM PERSARAFAN LAIN-LAIN (SEDANG)","II","C","4169100"
"1386","H-1-20-I  ","PROSEDUR EKTRAOKULER DAN MATA RINGAN","III","C","4265800"
"2142","J-1-02-I  ","PROSEDUR VENTILASI MEKANIKAL LONG TERM TANPA TRAKEOSTOMI RINGAN","KELAS 2","B","33912200"
"1381","G-4-26-III","GANGUAN-PENYAKIT SISTEM PERSARAFAN LAIN-LAIN (BERAT)","II","C","6234000"
"1384","G-4-26-III","GANGUAN-PENYAKIT SISTEM PERSARAFAN LAIN-LAIN (BERAT)","II","B","7335500"
"1390","H-1-20-I  ","PROSEDUR EKTRAOKULER DAN MATA RINGAN","II","B","11969500"
"1392","H-1-20-II ","PROSEDUR EKTRAOKULER DAN MATA SEDANG","III","C","5437900"
"1403","H-1-20-III","PROSEDUR EKTRAOKULER DAN MATA BERAT","I","B","20987700"
"1396","H-1-20-II ","PROSEDUR EKTRAOKULER DAN MATA SEDANG","II","B","13228300"
"2276","J-4-12-I  ","EMBOLI PARU RINGAN","KELAS 2","B","5323600"
"1398","H-1-20-III","PROSEDUR EKTRAOKULER DAN MATA BERAT","III","C","7395100"
"1407","H-1-30-I  ","PROSEDUR LENSA DAN INTRA OKULER RINGAN","II","B","8762800"
"1401","H-1-20-III","PROSEDUR EKTRAOKULER DAN MATA BERAT","III","B","14991200"
"1405","H-1-30-I  ","PROSEDUR LENSA DAN INTRA OKULER RINGAN","III","B","7302300"
"1409","H-1-30-I  ","PROSEDUR LENSA DAN INTRA OKULER RINGAN","I","B","10223300"
"1411","H-1-30-II ","PROSEDUR LENSA DAN INTRA OKULER SEDANG","III","B","9072400"
"1413","H-1-30-II ","PROSEDUR LENSA DAN INTRA OKULER SEDANG","II","B","10886900"
"1415","H-1-30-II ","PROSEDUR LENSA DAN INTRA OKULER SEDANG","I","B","12701400"
"1456","H-4-10-II ","INFEKSI MATA AKUT MAYOR (SEDANG)","III","C","3471400"
"1419","H-1-30-III","PROSEDUR LENSA DAN INTRA OKULER BERAT","II","B","15248700"
"1453","H-4-10-I  ","INFEKSI MATA AKUT MAYOR (RINGAN)","I","C","3581900"
"1451","H-4-10-I  ","INFEKSI MATA AKUT MAYOR (RINGAN)","II","C","3070200"
"1422","H-2-21-0  ","PROSEDUR BESAR PADA MATA","","C","1906100"
"1423","H-2-21-0  ","PROSEDUR BESAR PADA MATA","","B","2648600"
"1425","H-2-22-0  ","PROSEDUR SEDANG PADA MATA","","C","889500"
"1426","H-2-23-0  ","PROSEDUR KECIL PADA MATA","","C","508300"
"1428","H-2-31-0  ","PROSEDUR BESAR PADA SEGMEN ANTERIOR MATA","","C","1984200"
"1429","H-2-31-0  ","PROSEDUR BESAR PADA SEGMEN ANTERIOR MATA","","B","2757100"
"1433","H-2-33-0  ","PROSEDUR KECIL PADA SEGMEN ANTERIOR MATA","","B","260300"
"1437","H-2-35-0  ","PROSEDUR KECIL PADA SEGMEN POSTERIOR MATA","","B","2067800"
"2139","J-1-02-I  ","PROSEDUR VENTILASI MEKANIKAL LONG TERM TANPA TRAKEOSTOMI RINGAN","KELAS 2","C","25938100"
"1438","H-2-36-0  ","PROSEDUR OPERASI KATARAK","","B","3814000"
"1441","H-2-37-0  ","PROSEDUR PHOTOKOAGULASI DAN KRIOTHERAPI PADA RETINA","","B","1074200"
"1443","H-3-10-0  ","PROSEDUR LASER SEDANG PADA MATA","","C","475500"
"1445","H-3-11-0  ","PROSEDUR KECIL PADA EKTRAOKULER","","C","255700"
"1447","H-3-12-0  ","PROSEDUR LAIN-LAIN PADA MATA","","C","213100"
"1449","H-3-13-0  ","PROSEDUR DIAGNOSTIK & IMAGING PADA MATA","","B","242700"
"1454","H-4-10-I  ","INFEKSI MATA AKUT MAYOR (RINGAN)","II","B","4014100"
"1473","H-4-11-I  ","GANGGUAN PERSARAFAN MATA RINGAN","I","B","4041600"
"2280","J-4-12-II ","EMBOLI PARU SEDANG","KELAS 3","B","5050100"
"1466","H-4-10-III","INFEKSI MATA AKUT MAYOR (BERAT)","II","B","10705000"
"1458","H-4-10-II ","INFEKSI MATA AKUT MAYOR (SEDANG)","III","B","4538600"
"1462","H-4-10-III","INFEKSI MATA AKUT MAYOR (BERAT)","III","C","6823200"
"1464","H-4-10-III","INFEKSI MATA AKUT MAYOR (BERAT)","III","B","8920900"
"1468","H-4-11-I  ","GANGGUAN PERSARAFAN MATA RINGAN","III","C","2208000"
"1472","H-4-11-I  ","GANGGUAN PERSARAFAN MATA RINGAN","II","B","3464200"
"1487","H-4-12-I  ","GANGGUAN MATA LAIN-LAIN (RINGAN)","III","B","3403600"
"1475","H-4-11-II ","GANGGUAN PERSARAFAN MATA SEDANG","II","C","3022400"
"1477","H-4-11-II ","GANGGUAN PERSARAFAN MATA SEDANG","I","C","3526200"
"1481","H-4-11-III","GANGGUAN PERSARAFAN MATA BERAT","II","C","4328000"
"1479","H-4-11-II ","GANGGUAN PERSARAFAN MATA SEDANG","I","B","4610200"
"1485","H-4-11-III","GANGGUAN PERSARAFAN MATA BERAT","I","B","6601600"
"1496","H-4-12-II ","GANGGUAN MATA LAIN-LAIN (SEDANG)","II","B","5031000"
"1491","H-4-12-I  ","GANGGUAN MATA LAIN-LAIN (RINGAN)","I","B","4765100"
"1492","H-4-12-II ","GANGGUAN MATA LAIN-LAIN (SEDANG)","III","C","3110500"
"1500","H-4-12-III","GANGGUAN MATA LAIN-LAIN (BERAT)","I","C","7297600"
"1494","H-4-12-II ","GANGGUAN MATA LAIN-LAIN (SEDANG)","III","B","4192500"
"1498","H-4-12-III","GANGGUAN MATA LAIN-LAIN (BERAT)","III","C","5212600"
"1502","H-4-12-III","GANGGUAN MATA LAIN-LAIN (BERAT)","II","B","8431100"
"1516","I-1-01-III","PROSEDUR TRANPLANTASI PARU ATAU/DAN JANTUNG BERAT","III","C","56409200"
"1509","I-1-01-I  ","PROSEDUR TRANPLANTASI PARU ATAU/DAN JANTUNG RINGAN","I","B","64003600"
"1511","I-1-01-II ","PROSEDUR TRANPLANTASI PARU ATAU/DAN JANTUNG SEDANG","II","C","42883500"
"1513","I-1-01-II ","PROSEDUR TRANPLANTASI PARU ATAU/DAN JANTUNG SEDANG","I","C","50030700"
"1523","I-1-02-I  ","PROSEDUR KATUP JANTUNG DENGAN KATETERISASI RINGAN","II","C","23279500"
"1525","I-1-02-I  ","PROSEDUR KATUP JANTUNG DENGAN KATETERISASI RINGAN","I","C","27159400"
"1518","I-1-01-III","PROSEDUR TRANPLANTASI PARU ATAU/DAN JANTUNG BERAT","III","B","73751000"
"1530","I-1-02-II ","PROSEDUR KATUP JANTUNG DENGAN KATETERISASI SEDANG","III","B","32718600"
"1362","G-4-25-III","GEGAR OTAK BERAT","III","C","3167200"
"1527","I-1-02-I  ","PROSEDUR KATUP JANTUNG DENGAN KATETERISASI RINGAN","I","B","35508900"
"1539","I-1-02-III","PROSEDUR KATUP JANTUNG DENGAN KATETERISASI BERAT","I","B","56458900"
"1534","I-1-02-III","PROSEDUR KATUP JANTUNG DENGAN KATETERISASI BERAT","III","C","30845100"
"1536","I-1-02-III","PROSEDUR KATUP JANTUNG DENGAN KATETERISASI BERAT","III","B","40327800"
"1542","I-1-03-I  ","PROSEDUR OPERASI KARDIOTORASIK KOMPLEKS PADA JANTUNG ANOMALI RINGAN","III","B","14650000"
"1360","G-4-25-II ","GEGAR OTAK SEDANG","II","B","3749600"
"1365","G-4-25-III","GEGAR OTAK BERAT","I","C","4434000"
"1363","G-4-25-III","GEGAR OTAK BERAT","II","C","3800600"
"1374","G-4-26-II ","GANGUAN-PENYAKIT SISTEM PERSARAFAN LAIN-LAIN (SEDANG)","III","C","3474200"
"1567","I-1-04-II ","PROSEDUR KATUP JANTUNG TANPA KATETERISASI JANTUNG SEDANG","I","C","37310200"
"1560","I-1-04-I  ","PROSEDUR KATUP JANTUNG TANPA KATETERISASI JANTUNG RINGAN","III","B","22759600"
"1570","I-1-04-III","PROSEDUR KATUP JANTUNG TANPA KATETERISASI JANTUNG BERAT","III","C","42573400"
"1565","I-1-04-II ","PROSEDUR KATUP JANTUNG TANPA KATETERISASI JANTUNG SEDANG","II","C","31980200"
"1590","I-1-05-III","PROSEDUR PEMBEDAHAN BYPASS PEMBULUH KORONER DENGAN KATETERISASI JANTUNG BERAT","II","C","42929500"
"1575","I-1-04-III","PROSEDUR KATUP JANTUNG TANPA KATETERISASI JANTUNG BERAT","I","B","80336500"
"1594","I-1-06-I  ","PROSEDUR KARDIOTORASIK LAIN RINGAN","III","C","15973300"
"1578","I-1-05-I  ","PROSEDUR PEMBEDAHAN BYPASS PEMBULUH KORONER DENGAN KATETERISASI JANTUNG RINGAN","I","C","30332200"
"1584","I-1-05-II ","PROSEDUR PEMBEDAHAN BYPASS PEMBULUH KORONER DENGAN KATETERISASI JANTUNG SEDANG","I","C","36398800"
"1587","I-1-05-II ","PROSEDUR PEMBEDAHAN BYPASS PEMBULUH KORONER DENGAN KATETERISASI JANTUNG SEDANG","I","B","91581400"
"1611","I-1-06-III","PROSEDUR KARDIOTORASIK LAIN BERAT","I","B","52097800"
"1595","I-1-06-I  ","PROSEDUR KARDIOTORASIK LAIN RINGAN","II","C","19167900"
"1596","I-1-06-I  ","PROSEDUR KARDIOTORASIK LAIN RINGAN","III","B","21529800"
"1598","I-1-06-I  ","PROSEDUR KARDIOTORASIK LAIN RINGAN","II","B","25835800"
"1600","I-1-06-II ","PROSEDUR KARDIOTORASIK LAIN SEDANG","III","C","23138600"
"1604","I-1-06-II ","PROSEDUR KARDIOTORASIK LAIN SEDANG","II","B","37425300"
"1602","I-1-06-II ","PROSEDUR KARDIOTORASIK LAIN SEDANG","III","B","31187700"
"1606","I-1-06-III","PROSEDUR KARDIOTORASIK LAIN BERAT","III","C","27608600"
"1649","I-1-12-I  ","PROSEDUR PEMBULUH DARAH TORASIK KOMPLEKS RINGAN","II","C","10500600"
"1608","I-1-06-III","PROSEDUR KARDIOTORASIK LAIN BERAT","III","B","37212700"
"1618","I-1-07-II ","PROSEDUR PEMBEDAHAN BYPASS PEMBULUH KORONER TANPA KATETERISASI JANTUNG SEDANG","III","C","23457900"
"1614","I-1-07-I  ","PROSEDUR PEMBEDAHAN BYPASS PEMBULUH KORONER TANPA KATETERISASI JANTUNG RINGAN","I","C","26619900"
"1624","I-1-07-III","PROSEDUR PEMBEDAHAN BYPASS PEMBULUH KORONER TANPA KATETERISASI JANTUNG BERAT","I","B","124883700"
"1630","I-1-11-I  ","PROSEDUR DEFIBRILATOR JANTUNG DAN PEMASANGAN SISTEM BANTUAN JANTUNG RINGAN","III","C","3040000"
"1627","I-1-07-III","PROSEDUR PEMBEDAHAN BYPASS PEMBULUH KORONER TANPA KATETERISASI JANTUNG BERAT","I","C","35829500"
"1641","I-1-11-II ","PROSEDUR DEFIBRILATOR JANTUNG DAN PEMASANGAN SISTEM BANTUAN JANTUNG SEDANG","I","B","6378400"
"1633","I-1-11-I  ","PROSEDUR DEFIBRILATOR JANTUNG DAN PEMASANGAN SISTEM BANTUAN JANTUNG RINGAN","III","B","4097500"
"1638","I-1-11-II ","PROSEDUR DEFIBRILATOR JANTUNG DAN PEMASANGAN SISTEM BANTUAN JANTUNG SEDANG","III","B","4556000"
"1644","I-1-11-III","PROSEDUR DEFIBRILATOR JANTUNG DAN PEMASANGAN SISTEM BANTUAN JANTUNG BERAT","III","B","6062600"
"1647","I-1-11-III","PROSEDUR DEFIBRILATOR JANTUNG DAN PEMASANGAN SISTEM BANTUAN JANTUNG BERAT","I","B","8487700"
"1654","I-1-12-II ","PROSEDUR PEMBULUH DARAH TORASIK KOMPLEKS SEDANG","III","C","14291300"
"1659","I-1-12-II ","PROSEDUR PEMBULUH DARAH TORASIK KOMPLEKS SEDANG","I","B","26158800"
"1652","I-1-12-I  ","PROSEDUR PEMBULUH DARAH TORASIK KOMPLEKS RINGAN","II","B","14153400"
"1661","I-1-12-III","PROSEDUR PEMBULUH DARAH TORASIK KOMPLEKS BERAT","II","C","22562800"
"1656","I-1-12-II ","PROSEDUR PEMBULUH DARAH TORASIK KOMPLEKS SEDANG","III","B","18684900"
"1666","I-1-13-I  ","PROSEDUR PEMBULUH DARAH ABDOMINAL KOMPLEK RINGAN","III","C","8487900"
"1663","I-1-12-III","PROSEDUR PEMBULUH DARAH TORASIK KOMPLEKS BERAT","I","C","26323300"
"1670","I-1-13-I  ","PROSEDUR PEMBULUH DARAH ABDOMINAL KOMPLEK RINGAN","II","B","13728600"
"1675","I-1-13-II ","PROSEDUR PEMBULUH DARAH ABDOMINAL KOMPLEK SEDANG","I","C","15824600"
"2092","I-4-23-II ","KOMPLIKASI, REAKSI, MALFUNGSI DARI PROSEDUR ATAU PEMASANGAN ALAT KARDIOVASKULAR SEDANG","KELAS 3","B","4024500"
"1668","I-1-13-I  ","PROSEDUR PEMBULUH DARAH ABDOMINAL KOMPLEK RINGAN","III","B","11440500"
"1692","I-1-14-II ","PROSEDUR PEMASANGAN PACEMAKER JANTUNG PERMANEN SEDANG","III","B","29102500"
"1679","I-1-13-III","PROSEDUR PEMBULUH DARAH ABDOMINAL KOMPLEK BERAT","II","C","16728100"
"1677","I-1-13-II ","PROSEDUR PEMBULUH DARAH ABDOMINAL KOMPLEK SEDANG","I","B","21329500"
"1687","I-1-14-I  ","PROSEDUR PEMASANGAN PACEMAKER JANTUNG PERMANEN RINGAN","I","C","24321600"
"1682","I-1-13-III","PROSEDUR PEMBULUH DARAH ABDOMINAL KOMPLEK BERAT","II","B","22547300"
"1694","I-1-14-II ","PROSEDUR PEMASANGAN PACEMAKER JANTUNG PERMANEN SEDANG","II","B","34923000"
"1689","I-1-14-I  ","PROSEDUR PEMASANGAN PACEMAKER JANTUNG PERMANEN RINGAN","I","B","32782200"
"1725","I-1-16-I  ","PROSEDUR REVISI DEFIBRILATOR & PACEMAKER JANTUNG TIDAK TERMASUK PENGGANTIAN ALAT (RINGAN)","I","B","15660100"
"1702","I-1-15-I  ","PROSEDUR KATETERISASI JANTUNG RINGAN","III","C","3300300"
"1697","I-1-14-III","PROSEDUR PEMASANGAN PACEMAKER JANTUNG PERMANEN BERAT","II","C","33950800"
"1703","I-1-15-I  ","PROSEDUR KATETERISASI JANTUNG RINGAN","II","C","3960300"
"1705","I-1-15-I  ","PROSEDUR KATETERISASI JANTUNG RINGAN","III","B","4448300"
"1712","I-1-15-II ","PROSEDUR KATETERISASI JANTUNG SEDANG","II","B","7454400"
"1708","I-1-15-II ","PROSEDUR KATETERISASI JANTUNG SEDANG","III","C","4608800"
"1710","I-1-15-II ","PROSEDUR KATETERISASI JANTUNG SEDANG","III","B","6212000"
"1714","I-1-15-III","PROSEDUR KATETERISASI JANTUNG BERAT","III","C","8874700"
"1718","I-1-15-III","PROSEDUR KATETERISASI JANTUNG BERAT","II","B","14354300"
"2087","I-4-23-I  ","KOMPLIKASI, REAKSI, MALFUNGSI DARI PROSEDUR ATAU PEMASANGAN ALAT KARDIOVASKULAR RINGAN","KELAS 1","C","3510100"
"1716","I-1-15-III","PROSEDUR KATETERISASI JANTUNG BERAT","III","B","11961900"
"1728","I-1-16-II ","PROSEDUR REVISI DEFIBRILATOR & PACEMAKER JANTUNG TIDAK TERMASUK PENGGANTIAN ALAT (SEDANG)","III","B","26091600"
"1552","I-1-03-III","PROSEDUR OPERASI KARDIOTORASIK KOMPLEKS PADA JANTUNG ANOMALI BERAT","III","C","19712300"
"1550","I-1-03-II ","PROSEDUR OPERASI KARDIOTORASIK KOMPLEKS PADA JANTUNG ANOMALI SEDANG","II","B","24369600"
"1555","I-1-03-III","PROSEDUR OPERASI KARDIOTORASIK KOMPLEKS PADA JANTUNG ANOMALI BERAT","I","C","27597200"
"1562","I-1-04-I  ","PROSEDUR KATUP JANTUNG TANPA KATETERISASI JANTUNG RINGAN","II","B","27311500"
"1558","I-1-04-I  ","PROSEDUR KATUP JANTUNG TANPA KATETERISASI JANTUNG RINGAN","III","C","16885700"
"1750","I-1-17-III","PROSEDUR LIGASI DAN STRIPPING PEMBULUH DARAH VENA BERAT","III","C","15343400"
"1753","I-1-17-III","PROSEDUR LIGASI DAN STRIPPING PEMBULUH DARAH VENA BERAT","I","C","21480700"
"1748","I-1-17-II ","PROSEDUR LIGASI DAN STRIPPING PEMBULUH DARAH VENA SEDANG","II","B","20062500"
"1760","I-1-20-I  ","PROSEDUR SISTIM PEREDARAN DARAH LAIN-LAIN RINGAN","II","B","18060800"
"1758","I-1-20-I  ","PROSEDUR SISTIM PEREDARAN DARAH LAIN-LAIN RINGAN","III","B","15050700"
"1765","I-1-20-II ","PROSEDUR SISTIM PEREDARAN DARAH LAIN-LAIN SEDANG","I","C","19529700"
"1762","I-1-20-II ","PROSEDUR SISTIM PEREDARAN DARAH LAIN-LAIN SEDANG","III","C","13949800"
"1769","I-1-20-III","PROSEDUR SISTIM PEREDARAN DARAH LAIN BERAT","II","C","17597000"
"1792","I-1-40-I  ","PROSEDUR KARDIOVASKULAR PERKUTAN RINGAN","III","C","7795400"
"1767","I-1-20-II ","PROSEDUR SISTIM PEREDARAN DARAH LAIN-LAIN SEDANG","I","B","26323400"
"1771","I-1-20-III","PROSEDUR SISTIM PEREDARAN DARAH LAIN BERAT","I","C","20529800"
"1787","I-1-30-III","PROSEDUR PENGGANTIAN ALAT DEFIBRILATOR DAN PACEMAKER JANTUNG BERAT","II","C","32674500"
"1773","I-1-20-III","PROSEDUR SISTIM PEREDARAN DARAH LAIN BERAT","I","B","27671400"
"1779","I-1-30-I  ","PROSEDUR PENGGANTIAN ALAT DEFIBRILATOR DAN PACEMAKER JANTUNG RINGAN","I","B","15939000"
"1785","I-1-30-II ","PROSEDUR PENGGANTIAN ALAT DEFIBRILATOR DAN PACEMAKER JANTUNG SEDANG","I","B","33156700"
"1801","I-1-40-II ","PROSEDUR KARDIOVASKULAR PERKUTAN SEDANG","I","C","26980200"
"1790","I-1-30-III","PROSEDUR PENGGANTIAN ALAT DEFIBRILATOR DAN PACEMAKER JANTUNG BERAT","II","B","44040800"
"1796","I-1-40-I  ","PROSEDUR KARDIOVASKULAR PERKUTAN RINGAN","II","B","12608600"
"1794","I-1-40-I  ","PROSEDUR KARDIOVASKULAR PERKUTAN RINGAN","III","B","10507100"
"1853","I-4-10-I  ","INFARK MYOKARD AKUT RINGAN","III","B","3960600"
"1799","I-1-40-II ","PROSEDUR KARDIOVASKULAR PERKUTAN SEDANG","II","C","23125900"
"1805","I-1-40-III","PROSEDUR KARDIOVASKULAR PERKUTAN BERAT","II","C","30888300"
"1803","I-1-40-II ","PROSEDUR KARDIOVASKULAR PERKUTAN SEDANG","I","B","35274700"
"1807","I-1-40-III","PROSEDUR KARDIOVASKULAR PERKUTAN BERAT","I","C","36036400"
"1851","I-4-10-I  ","INFARK MYOKARD AKUT RINGAN","II","C","3526100"
"1809","I-1-40-III","PROSEDUR KARDIOVASKULAR PERKUTAN BERAT","I","B","47115000"
"1861","I-4-10-II ","INFARK MYOKARD AKUT SEDANG","I","B","9900900"
"1812","I-2-12-0  ","PROSEDUR BESAR PADA PEMBULUH DARAH TORASIK","","B","1801700"
"1813","I-2-12-0  ","PROSEDUR BESAR PADA PEMBULUH DARAH TORASIK","","C","1782900"
"1815","I-2-13-0  ","PROSEDUR BESAR PADA PEMBULUH DARAH ABDOMEN","","C","2265900"
"1818","I-2-15-0  ","PROSEDUR KATETERISASI JANTUNG","","C","3324900"
"1819","I-2-15-0  ","PROSEDUR KATETERISASI JANTUNG","","B","3536800"
"2106","I-4-24-I  ","DIAGNOSIS SISTEM PEMBULUH DARAH LAIN-LAIN (RINGAN)","KELAS 2","B","3286600"
"1824","I-2-21-0  ","ANGIOGRAFI ARTERI BUKAN JANTUNG","","B","2848900"
"1825","I-2-21-0  ","ANGIOGRAFI ARTERI BUKAN JANTUNG","","C","2819100"
"1827","I-2-22-0  ","PROSEDUR SEDANG PADA PEMBULUH DARAH","","B","1860200"
"1829","I-2-23-0  ","PROSEDUR KECIL PADA PEMBULUH DARAH","","B","457300"
"1832","I-2-32-0  ","PEMASANGAN ATAU PENGGANTIAN ALAT PACU JANTUNG","","C","3831700"
"1834","I-2-41-0  ","PROSEDUR ELEKTROFISIOLOGIK","","C","2569200"
"1835","I-2-41-0  ","PROSEDUR ELEKTROFISIOLOGIK","","B","2596300"
"1838","I-3-10-0  ","PROSEDUR RESUSITASI","","B","320000"
"1839","I-3-10-0  ","PROSEDUR RESUSITASI","","C","300800"
"1840","I-3-11-0  ","PROSEDUR KARDIOVERSI","","B","292100"
"1842","I-3-12-0  ","PROSEDUR KECIL LAIN-LAIN PADA JANTUNG","","B","1175400"
"1844","I-3-13-0  ","PROSEDUR EKOKARDIOGRAFI","","B","338100"
"1846","I-3-14-0  ","PROSEDUR STRESS TESTING","","C","283200"
"1847","I-3-14-0  ","PROSEDUR STRESS TESTING","","B","286200"
"1849","I-3-15-0  ","PROSEDUR PENGAWASAN FUNGSI KARDIOVASKULAR","","B","316300"
"1860","I-4-10-II ","INFARK MYOKARD AKUT SEDANG","II","B","8486500"
"1856","I-4-10-II ","INFARK MYOKARD AKUT SEDANG","III","C","5246900"
"1858","I-4-10-II ","INFARK MYOKARD AKUT SEDANG","III","B","7072100"
"1889","I-4-12-I  ","KEGAGALAN JANTUNG RINGAN","III","B","3502700"
"1863","I-4-10-III","INFARK MYOKARD AKUT BERAT","II","C","9072000"
"1865","I-4-10-III","INFARK MYOKARD AKUT BERAT","I","C","10584000"
"1866","I-4-10-III","INFARK MYOKARD AKUT BERAT","II","B","12227800"
"2109","I-4-24-II ","DIAGNOSIS SISTEM PEMBULUH DARAH LAIN-LAIN (SEDANG)","KELAS 3","B","6306800"
"1871","I-4-11-I  ","ENDOKARDITIS AKUT DAN SUBAKUT RINGAN","I","C","6329000"
"1875","I-4-11-II ","ENDOKARDITIS AKUT DAN SUBAKUT SEDANG","II","C","6713300"
"1873","I-4-11-I  ","ENDOKARDITIS AKUT DAN SUBAKUT RINGAN","I","B","8274700"
"1877","I-4-11-II ","ENDOKARDITIS AKUT DAN SUBAKUT SEDANG","I","C","7832200"
"1881","I-4-11-III","ENDOKARDITIS AKUT DAN SUBAKUT BERAT","II","C","12418900"
"1879","I-4-11-II ","ENDOKARDITIS AKUT DAN SUBAKUT SEDANG","I","B","10240000"
"1883","I-4-11-III","ENDOKARDITIS AKUT DAN SUBAKUT BERAT","I","C","14488700"
"1887","I-4-12-I  ","KEGAGALAN JANTUNG RINGAN","II","C","3118600"
"1885","I-4-11-III","ENDOKARDITIS AKUT DAN SUBAKUT BERAT","I","B","18943000"
"1894","I-4-12-II ","KEGAGALAN JANTUNG SEDANG","I","C","4217300"
"1890","I-4-12-I  ","KEGAGALAN JANTUNG RINGAN","II","B","4203300"
"1901","I-4-12-III","KEGAGALAN JANTUNG BERAT","III","B","4872200"
"1899","I-4-12-III","KEGAGALAN JANTUNG BERAT","II","C","4337800"
"1897","I-4-12-II ","KEGAGALAN JANTUNG SEDANG","I","B","5684300"
"1909","I-4-13-I  ","THROMBOPHLEBITIS PADA PEMBULUH DARAH VENA RINGAN","I","B","4990300"
"1902","I-4-12-III","KEGAGALAN JANTUNG BERAT","II","B","5846700"
"1907","I-4-13-I  ","THROMBOPHLEBITIS PADA PEMBULUH DARAH VENA RINGAN","III","B","3564500"
"1738","I-1-17-I  ","PROSEDUR LIGASI DAN STRIPPING PEMBULUH DARAH VENA RINGAN","III","C","9906500"
"2103","I-4-24-I  ","DIAGNOSIS SISTEM PEMBULUH DARAH LAIN-LAIN (RINGAN)","KELAS 3","B","2738800"
"1745","I-1-17-II ","PROSEDUR LIGASI DAN STRIPPING PEMBULUH DARAH VENA SEDANG","II","C","14884600"
"1743","I-1-17-I  ","PROSEDUR LIGASI DAN STRIPPING PEMBULUH DARAH VENA RINGAN","I","B","18693700"
"1740","I-1-17-I  ","PROSEDUR LIGASI DAN STRIPPING PEMBULUH DARAH VENA RINGAN","III","B","13352600"
"1430","H-2-32-0  ","PROSEDUR SEDANG PADA SEGMEN ANTERIOR MATA","","C","1322800"
"1011","G-1-13-II ","PROSEDUR CARPAL TUNNEL RELEASE SEDANG","III","B","3916300"
"1013","G-1-13-II ","PROSEDUR CARPAL TUNNEL RELEASE SEDANG","I","B","5482900"
"1023","G-1-20-I  ","PROSEDUR SARAF KRANIAL DAN PERIFER RINGAN","III","B","8629600"
"1017","G-1-13-III","PROSEDUR CARPAL TUNNEL RELEASE BERAT","I","C","9462700"
"1021","G-1-20-I  ","PROSEDUR SARAF KRANIAL DAN PERIFER RINGAN","II","C","5621000"
"1034","G-1-20-III","PROSEDUR SARAF KRANIAL DAN PERIFER BERAT","I","C","18200900"
"1024","G-1-20-I  ","PROSEDUR SARAF KRANIAL DAN PERIFER RINGAN","II","B","10355600"
"1026","G-1-20-II ","PROSEDUR SARAF KRANIAL DAN PERIFER SEDANG","III","C","5570400"
"1030","G-1-20-II ","PROSEDUR SARAF KRANIAL DAN PERIFER SEDANG","II","B","16858100"
"1032","G-1-20-III","PROSEDUR SARAF KRANIAL DAN PERIFER BERAT","III","C","13000700"
"2050","I-4-21-I  ","SYNCOPE & COLLAPSE RINGAN","KELAS 1","C","3199800"
"1036","G-1-20-III","PROSEDUR SARAF KRANIAL DAN PERIFER BERAT","II","B","25871500"
"2053","I-4-21-I  ","SYNCOPE & COLLAPSE RINGAN","KELAS 1","B","4312900"
"1038","G-1-30-I  ","PROSEDUR TULANG BELAKANG RINGAN","III","C","6871400"
"1040","G-1-30-I  ","PROSEDUR TULANG BELAKANG RINGAN","I","C","9619900"
"1048","G-1-30-II ","PROSEDUR TULANG BELAKANG SEDANG","II","B","27512500"
"1044","G-1-30-II ","PROSEDUR TULANG BELAKANG SEDANG","III","C","13917200"
"1046","G-1-30-II ","PROSEDUR TULANG BELAKANG SEDANG","I","C","19484100"
"1053","G-1-30-III","PROSEDUR TULANG BELAKANG BERAT","III","B","31234500"
"1083","G-4-10-I  ","KECEDERAAN & GANGGUAN TULANG BELAKANG RINGAN","I","C","4443400"
"1051","G-1-30-III","PROSEDUR TULANG BELAKANG BERAT","II","C","23455700"
"1081","G-4-10-I  ","KECEDERAAN & GANGGUAN TULANG BELAKANG RINGAN","II","C","3808600"
